Quelle API du noyau utilise iproute2 la ou net-tools lit /proc ?	Netlink (socket AF_NETLINK, famille NETLINK_ROUTE) ; ss utilise sock_diag
Une regle de la table nat s'applique-t-elle a chaque paquet d'une connexion ?	Non, seulement au premier (etat NEW) ; conntrack rejoue ensuite la meme traduction dans les deux sens
Timeout par defaut d'une connexion TCP etablie dans conntrack ?	432 000 s, soit 5 jours (nf_conntrack_tcp_timeout_established)
Combien de memoire noyau consomme approximativement une entree conntrack ?	Environ 300 octets, soit environ 300 Mo pour un million d'entrees
Difference entre SNAT et MASQUERADE ?	SNAT pose une IP fixe fournie a l'avance. MASQUERADE prend l'IP courante de l'interface de sortie et purge conntrack quand elle tombe
Adresse et masque du bridge docker0 par defaut ?	172.17.0.1/16
Pourquoi une regle DROP en INPUT ne protege-t-elle pas un port publie par Docker ?	Le DNAT en PREROUTING envoie le paquet en FORWARD, pas en INPUT. Il faut ecrire la regle dans la chaine DOCKER-USER
Sur quelle interface est configuree l'adresse ClusterIP d'un Service Kubernetes ?	Aucune : c'est uniquement une regle DNAT installee par kube-proxy sur chaque noeud
Probabilite de la k-ieme regle d'un service kube-proxy en mode iptables pour N endpoints ?	1 / (N - k + 1), ce qui donne 1/N a chacun au final
Qu'isole precisement un network namespace ?	Interfaces, adresses, routes, table ARP, espace de ports, regles netfilter, table conntrack, /proc/net et les sysctl net.*
Quelle etape oubliee laisse une veth en NO-CARRIER dans un namespace ?	Ne pas monter le bout reste sur l'hote : une veth n'a de porteuse que si ses deux extremites sont UP
Que fait exactement net.ipv4.ip_forward=1 ?	Il autorise le noyau a relayer un paquet dont la destination n'est pas une adresse locale, au lieu de le jeter
Valeur par defaut de net.core.somaxconn depuis le noyau 5.4 ?	4096 (128 avant)
Valeurs par defaut de net.ipv4.tcp_rmem ?	4096 131072 6291456 (min, defaut, max)
Difference entre tcp_rmem et rmem_max ?	tcp_rmem pilote l'auto-tuning du noyau ; rmem_max plafonne ce qu'une appli peut demander via SO_RCVBUF. Un SO_RCVBUF explicite desactive l'auto-tuning
Que mesurent les trois lettres de la methode USE ?	Utilisation, Saturation, Erreurs, pour chaque ressource (CPU, memoire, disque, reseau)
Pourquoi un load average de 40 ne prouve-t-il pas une saturation CPU sous Linux ?	Le load Linux compte aussi les processus en etat D (attente disque ininterruptible), pas seulement les runnables
Dans vmstat, que signalent les colonnes si et so non nulles ?	Du swap in/out : la machine manque de memoire et la latence va s'effondrer. Ces colonnes doivent rester a 0
Pourquoi %util a 100 % dans iostat ne prouve-t-il pas qu'un NVMe est sature ?	%util mesure le temps avec au moins une requete en vol ; un NVMe traite des dizaines de requetes en parallele. Lire await et aqu-sz
Quelle commande resout un nom exactement comme le fait une application ?	getent hosts <nom> : elle passe par NSS, donc /etc/hosts puis le DNS, contrairement a dig
Que vaut l'option ndots dans resolv.conf par defaut, et en Kubernetes ?	1 par defaut, 5 en Kubernetes, ce qui provoque jusqu'a 8 requetes DNS pour un nom externe
Dans mtr, 40 % de perte a un saut intermediaire et 0 % au saut final : verdict ?	Aucun probleme : ce routeur limite le debit de ses reponses ICMP. Seule la derniere ligne mesure la vraie perte
Difference de diagnostic entre Connection refused et Connection timed out ?	refused = un RST est revenu, la pile distante repond mais rien n'ecoute. timed out = aucune reponse, un DROP ou un trou de routage
